Дата,Название,Ссылка,Краткое содержание
2020-10-13,Как из любого количества вариантов выбрать лучший: простой пайплайн ранжирования данных в Яндекс.Толоке,https://habr.com/ru/company/yandex/blog/521630/,"Привет, Хабр! Меня зовут Дмитрий Браженко. Разработка продуктов и сервисов регулярно сталкивает нас с необходимостью выбрать лучший вариант: какая иконка красивее? Какая кнопка удобнее? Краудсорсинг –"
2020-10-08,"Баланс между общим и частным в большой компании: консистентность, переиспользование кода и поиск чётких метрик",https://habr.com/ru/company/yandex/blog/522424/,[X] - ошибка парсинга 'NoneType' object has no attribute 'get_text'
2020-10-06,Базы данных: большой обзор типов и подходов. Доклад Яндекса,https://habr.com/ru/company/yandex/blog/522164/,"Это конспект лекции Татьяны Денисовой tdenisova — бэкенд-разработчика в Яндекс.Учебнике. Вы узнаете, какие бывают базы данных, какие их особенности важно помнить, как в работе с данными учитывать хара"
2020-09-30,Готовим видеосервис к нагрузке в сотни Гбит/с. Доклад Яндекса,https://habr.com/ru/company/yandex/blog/521092/,"Классический CDN — anycast, GeoDNS, веб-сервер с кешем — отлично работает с простыми файлами и небольшим количеством пользователей. Но если возникает необходимость раздавать потоковое видео, всё стано"
2020-09-28,Знакомство с Node-RED и потоковое программирование в Yandex IoT Core,https://habr.com/ru/company/yandex/blog/519600/,"В этой статье я хочу разобрать один из самых популярных опенсорс-инструментов, Node-RED, с точки зрения создания простых прототипов приложений с минимумом программирования. Проверим гипотезу о простот"
2020-09-23,Yandex Scale 2020: обсуждаем главные запуски и события в прямом эфире,https://habr.com/ru/company/yandex/blog/520326/,"Вторая ежегодная конференция Yandex Scale начнётся сегодня, 23 сентября, в 18.00 по Москве. В этот раз она пройдёт онлайн, а мы проведем текстовую трансляцию на Хабре. 



Развитие облачных технологи"
2020-09-22,Технология Apphost: альтернативная вселенная микросервисов в Яндексе,https://habr.com/ru/company/yandex/blog/520134/,[X] - ошибка парсинга 'NoneType' object has no attribute 'get_text'
2020-09-21,Где порешать аналитические задачи от команд Яндекса? Контест и разбор,https://habr.com/ru/company/yandex/blog/519846/,"Сегодня начинается пробный раунд чемпионата по программированию Yandex Cup. Это означает, что можно с помощью системы Яндекс.Контест решать задачи, подобные тем, которые будут в квалификационном раунд"
2020-09-15,Трудности масштабирования бэкенда онлайн-кинотеатра. Доклад Яндекса,https://habr.com/ru/company/yandex/blog/518732/,"Бэкенд КиноПоиска HD — это платформа для передачи контента с помощью технологии Over the Top (OTT) на разные устройства, регионы и площадки. На нашей конференции о видеотехнологиях PlayButton я расска"
2020-09-10,TeX в SVG: опенсорс-решение в помощь веб-разработчикам образовательных проектов,https://habr.com/ru/company/yandex/blog/518568/,[X] - ошибка парсинга 'NoneType' object has no attribute 'get_text'
2020-09-09,Эмуляция NES/Famicom/Денди на веб-технологиях. Доклад Яндекса,https://habr.com/ru/company/yandex/blog/517676/,"Стек TypeScript, Сanvas и веб-аудио позволяет эмулировать компьютерные системы с использованием веб-технологий. В докладе я на примере приставки NES рассказал, как устроена архитектура компьютеров — п"
2020-09-02,"Тесты в Python: все основные подходы, плюсы и минусы. Доклад Яндекса",https://habr.com/ru/company/yandex/blog/517266/,"Перед вами доклад Марии Зеленовой zelma — разработчика в Едадиле. За час Маша рассказала, в чём состоит тестирование программ, какие тесты бывают, зачем их писать. На простых примерах можно узнать про"
2020-08-27,Как заставить код выполняться за одинаковое время? Способы от Яндекс.Контеста,https://habr.com/ru/company/yandex/blog/515544/,"Недавно мы объявили на Хабре, что начинаем принимать заявки на Яндекс.Алгоритм и другие треки чемпионата по программированию Yandex Cup. Уже много лет онлайн-соревнования Яндекса и других компаний про"
2020-08-25,Make <your iOS app> talk. Доклад Яндекса,https://habr.com/ru/company/yandex/blog/516504/,"Cтандартные библиотеки распознавания речи и озвучки текста в iOS дают массу возможностей. Из доклада VolkovRoman вы узнаете, как за счёт минимального количества кода научить ваше приложение проговарив"
2020-08-20,Чем нам запомнится CVPR 2020. Как конференция про компьютерное зрение переехала в онлайн,https://habr.com/ru/company/yandex/blog/515900/,"Привет! Я Валентин Хрульков — исследователь из команды Yandex Research. Мы регулярно посещаем отраслевые конференции, а после делимся на Хабре впечатлениями: кто из докладчиков запомнился, какие стенд"
2020-08-18,Технические предпочтения пользователей с нарушениями зрения в 2020 году. Исследование Яндекса,https://habr.com/ru/company/yandex/blog/515460/,"Информационные технологии стирают многие границы. Они помогают учиться и работать удалённо, совершать покупки не выходя из дома, поддерживать связь с друзьями и близкими, заниматься наукой и творчеств"
2020-08-17,Прикладное целеводство. Доклад Яндекса,https://habr.com/ru/company/yandex/blog/515130/,"Зачем нужны цели? Как их формулировать? Какие проблемы могут возникнуть? По случаю Я.Субботника Pro я подготовил доклад, основанный на нескольких годах опыта ведения целей для команд в Яндексе.

— Ра"
2020-08-13,В поисках свежести,https://habr.com/ru/company/yandex/blog/514962/,20 марта 2010 года началось извержение вулкана Эйяфьядлайёкюдль в Исландии. 14 июля 2015 года межпланетная станция New Horizons передала на Землю фотографии Плутона. 15 апреля 2019 года случился пожар
2020-08-11,Архитектура современных корпоративных Node.js-приложений,https://habr.com/ru/company/yandex/blog/514550/,"Ох, не зря в названии намёк на нетленку Фаулера. И когда фронтенд-приложения успели стать настолько сложными, что мы начали рассуждать о высоких материях? Node.js… фронтенд… погодите, но Нода же на се"
2020-08-06,Concurrent Mode в React: адаптируем веб-приложения под устройства и скорость интернета,https://habr.com/ru/company/yandex/blog/514016/,"В этой статье я расскажу о конкурентном режиме в React. Разберёмся, что это: какие есть особенности, какие новые инструменты появились и как с их помощью оптимизировать работу веб-приложений, чтобы у "
2020-08-05,Когда и CRA мало. Доклад Яндекса,https://habr.com/ru/company/yandex/blog/512622/,"За интерфейсами поиска Яндекса скрывается большой проект со сложной инфраструктурой. У нас десятки мегабайт кода, который должен быстро работать и быстро собираться. Когда нам понадобилось перевести п"
2020-07-29,Пишем и тестируем миграции БД с Alembic. Доклад Яндекса,https://habr.com/ru/company/yandex/blog/511892/,"Приложения на бэкенде могут работать с самыми разными базами данных: PostgreSQL, SQLite, MariaDB и другими. Перед разработчиками встает задача реализовать возможность легко и безопасно изменять состоя"
2020-07-22,Устройство CPython. Доклад Яндекса,https://habr.com/ru/company/yandex/blog/511972/,"Мы публикуем конспект вступительной лекции видеокурса «Бэкенд-разработка на Python». В ней Егор Овчаренко egorovcharenko, тимлид в Яндекс.Такси, рассказал о внутреннем устройстве интерпретатора CPytho"
2020-07-15,Как в компании развивался Python. Доклад Яндекса,https://habr.com/ru/company/yandex/blog/509352/,13 лет назад начался эксперимент по использованию Python в больших сервисах Яндекса. Эксперимент получился удачным (кто бы сомневался!) и Python начал свое победное поползновение по сервисам компании.
2020-07-09,Учимся квантовому программированию с помощью примеров. Доклад Яндекса,https://habr.com/ru/company/yandex/blog/510054/,"Сегодня любой желающий может воспользоваться методами квантового программирования, написать простой код на Python и запустить его на реальном квантовом вычислителе. Ришат Ибрагимов rishat_ibrahimov ра"
2020-07-08,"Коды избыточности: простыми словами о том, как надёжно и дёшево хранить данные",https://habr.com/ru/company/yandex/blog/510050/,"Так выглядит избыточность
Коды избыточности* широко применяются в компьютерных системах для увеличения надёжности хранения данных. В Яндексе их используют в очень многих проектах. Например, применение"
2020-07-04,Расчет факторов в антифроде. Доклад Яндекса,https://habr.com/ru/company/yandex/blog/509506/,"Антифрод — сервис по поиску и нивелированию случаев эксплуатации других, общедоступных сервисов Яндекса. Три года назад мы начали проектировать платформу, позволяющую быстро и легко развернуть антифро"
2020-06-30,"Камера, мотор, панорама: как создаются 3D-фото автомобилей в приложении Авто.ру",https://habr.com/ru/company/yandex/blog/508180/,"Чем лучше удастся рассмотреть потенциальную покупку перед оплатой, тем меньше шансов столкнуться с неприятными сюрпризами после, вопреки недобросовестным продавцам и недостаточно подробным описаниям. "
2020-06-27,Автоматизация тестирования на максималках. Доклад Яндекса,https://habr.com/ru/company/yandex/blog/506094/,"Это снова Владимир Гриненко, тимлид в поисковом портале Яндекса. Я решил рассказать, как у нас устроено тестирование интерфейсов: о формате описания сценариев, способах их актуализации, о нашем собств"
2020-06-25,На пути к индивидуальному образованию: анализ данных Яндекс.Репетитора,https://habr.com/ru/company/yandex/blog/500566/,"Наверняка почти каждый мечтает о персонализированном образовании: двигаться к своей образовательной цели максимально коротким путём, решать только те задачи, состав и сложность которых подстраиваются "
2020-06-23,Как мы сэкономили время курьерам. Логистика в Яндекс.Еде,https://habr.com/ru/company/yandex/blog/507448/,"Всем привет! Меня зовут Роман Халкечев, я руковожу отделом аналитики в Яндекс.Еде. Одно из ключевых направлений этого сервиса — логистика. Эффективность алгоритмов логистики во многом и определяет сам"
2020-06-18,От эвристик до машинного обучения: история саджеста в Яндекс.Браузере,https://habr.com/ru/company/yandex/blog/507028/,"Давненько я ничего не рассказывал о Яндекс.Браузере и Chromium, а ведь интерес к этой теме на Хабре был нешуточный. Пора исправляться. Сегодня хочу поднять тему подсказок, которые мы видим под адресно"
2020-06-17,Полный цикл создания устройства и работа с фабриками в Китае,https://habr.com/ru/company/yandex/blog/507026/,Меня зовут Андрей Холодный. Весь мой опыт связан с телекомом: я работал практически во всех крупных провайдерах связи и даже руководил своим стартапом. На моих проектах регулярно возникали задачи разр
2020-06-13,Минифицируем приватные поля в TypeScript. Доклад Яндекса,https://habr.com/ru/company/yandex/blog/506030/,"Меня зовут Лёша Гусев, я работаю в команде разработки видеоплеера Яндекса. Если вы когда-нибудь смотрели фильмы или трансляции на сервисах Яндекса, то использовали именно наш плеер.

Я сделал небольш"
2020-06-11,"Агломеративная кластеризация: алгоритм, быстродействие, код на GitHub",https://habr.com/ru/company/yandex/blog/503492/,"Несколько лет назад мне потребовалось очень качественно кластеризовать относительно неплотные графы среднего размера (сотни тысяч объектов, сотни миллионов связей). Тогда оказалось, что алгоритма с по"
2020-06-09,"Как мы отказались от нейросетей, а затем вернули их в прогноз осадков Яндекс.Погоды",https://habr.com/ru/company/yandex/blog/504794/,"Мы уже рассказывали, как Яндекс.Погода делает сверхкраткосрочный прогноз осадков по метеорологическим радарам и спутниковым наблюдениям. Сегодня расскажем, как нам удалось поднять качество такого прог"
2020-06-07,"Как коронавирус повлиял на ML-проекты Такси, Еды и Лавки. Доклад Яндекса",https://habr.com/ru/company/yandex/blog/505668/,"Меня зовут Илья Ирхин, я руководитель отдела машинного обучения и анализа данных Яндекс.Такси.


Коронавирус и самоизоляция, безусловно, повлияли на наши ML-проекты. Из моего доклада вы узнаете, как "
2020-06-03,Yandex Retro Games Battle 2020: новый конкурс и полезные ресурсы для разработчиков,https://habr.com/ru/company/yandex/blog/505006/,"Меня зовут Олег Сенин, я программист, художник и музыкант на разных ретроплатформах. В этом году я присоединился к команде музея Яндекса. Не повезло: переехал из Санкт-Петербурга, собирался выйти на р"
2020-06-01,Релизный поезд. Доклад Яндекса,https://habr.com/ru/company/yandex/blog/504752/,"Релизные процессы в разных командах Яндекса (да и в любых больших IT-компаниях) устроены похожим образом, но отличаются во многих деталях. У мобильных разработчиков своя специфика: на их релизы влияет"
2020-05-27,Как мы тестируем системы микрофонов на STM32: опыт разработчиков устройств Яндекса,https://habr.com/ru/company/yandex/blog/503920/,"Привет, я Геннадий «Крэйл» Круглов из команды аппаратных решений Яндекса.

Подбор микрофонов для микрофонной матрицы — сложная и интересная часть нашей работы: мы тестируем модели с различными параме"
2020-05-25,Тестовые проекты без боли. Доклад Яндекса,https://habr.com/ru/company/yandex/blog/503660/,"Мы в команде Яндекс.Карт для iOS создаем тестовые проекты с помощью маленького плагина для CocoaPods и нескольких классов утилит. Создание проекта происходит быстро и надежно. Но может, мы слишком зам"
2020-05-21,Как мы учим Яндекс отвечать на вопросы и экономим пользователям 20 тысяч часов в сутки,https://habr.com/ru/company/yandex/blog/502542/,"Когда мы вводим запрос в поисковую строку, то ищем информацию, а не ссылки. Более того, зачастую нам требуется короткое предложение или общеизвестный факт. К примеру, [формула объёма усечённой пирамид"
2020-05-19,Как построить диаграмму Венна с 50 кругами? Визуализация множеств и история моего Python-проекта с открытым кодом,https://habr.com/ru/company/yandex/blog/501924/,"Всем привет, меня зовут Фёдор Индукаев, я работаю аналитиком в Яндекс.Маршрутизации. Сегодня хочу рассказать вам про задачу визуализации пересекающихся множеств и про  пакет для Python с открытым кодо"
2020-05-18,Яндекс записал звуки ретрокомпьютеров,https://habr.com/ru/company/yandex/blog/502206/,"Каждый день, когда Музей Яндекса открыт, я как сотрудник музея включаю все наши экспонаты: компьютеры и другую технику. Подолгу задерживаться у каждого устройства нет времени — не всегда можно визуаль"
2020-05-15,Дорогая цена стилей. Доклад Яндекса,https://habr.com/ru/company/yandex/blog/501998/,"Загрузка CSS на страницу — блокирующая операция. Если асинхронная загрузка JavaScript может быть незаметна пользователю, то медленное появление стилей может прогнать нетерпеливого гостя с сайта. Как з"
2020-05-13,"Оценка качества кластеризации: свойства, метрики, код на GitHub",https://habr.com/ru/company/yandex/blog/500742/,"Кластеризация — это такая магическая штука: она превращает большой объём неструктурированных данных в потенциально обозримый набор кластеров, анализ которых позволяет делать выводы о содержании этих д"
2020-05-08,Специфицируй это. Доклад Яндекса,https://habr.com/ru/company/yandex/blog/501088/,"Хорошая спецификация к API помогает клиентам его использовать. Несколько месяцев назад на большом Pytup разработчик Яндекса Александр Брязгин bryazginnn выступил с докладом о том, что собой представля"
2020-05-06,Работа распределённой команды в условиях самоизоляции: как мы почти не заметили разницы,https://habr.com/ru/company/yandex/blog/500116/,"Режим самоизоляции многих вынудил работать из дома. Кому-то смена обстановки даётся легче, кому-то сложнее, а кто-то и вовсе не заметил бы разницы, но после объявления недели (а потом и месяца) «каран"
2020-04-30,Знакомьтесь: арифмометр «Феликс»,https://habr.com/ru/company/yandex/blog/499834/,"Привет! На связи Музей Яндекса.

Во время режима социальной изоляции мы, как и многие коллеги по музейному делу, скучаем по посетителям:



Знакомьтесь, «Феликс» — арифмометр, один из самых популярн"
2020-04-29,Практическое руководство по разработке бэкенд-сервиса на Python,https://habr.com/ru/company/yandex/blog/499534/,"Привет, меня зовут Александр Васин, я бэкенд-разработчик в Едадиле. Идея этого материала началась с того, что я хотел разобрать вступительное задание (Я.Диск) в Школу бэкенд-разработки Яндекса. Я нача"
2020-04-27,Пайка в домашних условиях: запись стрима,https://habr.com/ru/company/yandex/blog/499238/,"Недавно мы провели двухчасовой стрим «пайки в домашних условиях»: разработчик аппаратной части Яндекс.Станции Геннадий «Крэйл» Круглов продемонстрировал, как он паяет в домашней лаборатории. Гена пока"
2020-04-24,Как научиться разработке на Python: новый видеокурс Яндекса,https://habr.com/ru/company/yandex/blog/498856/,Осенью прошлого года в московском офисе Яндекса прошла первая Школа бэкенд-разработки. Мы сняли занятия на видео и сегодня рады поделиться на Хабре полным видеокурсом Школы. Он позволит вам научиться 
2020-04-23,Какие алгоритмы разработчики Яндекса реализовывают каждый день,https://habr.com/ru/company/yandex/blog/498366/,"Споры о том, нужно ли разработчикам писать алгоритмический код на собеседованиях, бесконечны. В поддержку положительного ответа я уже публиковал рассказ об алгоритмических секциях с написанием кода в "
2020-04-22,Как мы эвакуировали дежурную смену Яндекса,https://habr.com/ru/company/yandex/blog/498426/,"Когда работа умещается в одном ноутбуке и может выполняться автономно от других людей, то нет проблем перебраться на удалёнку — достаточно остаться утром дома. Но так повезло не всем. 

Дежурная смен"
2020-04-21,Как создать безэховый экранированный бокс своими руками,https://habr.com/ru/company/yandex/blog/497516/,"Проведение испытаний и оценка качества работы радиоустройств — то ещё веселье. Для таких лабораторных исследований порой требуется специфическое оснащение, которое стоит больших денег. В том числе — б"
2020-04-17,Увеличение чувствительности A/Б-тестов с помощью Cuped. Доклад в Яндексе,https://habr.com/ru/company/yandex/blog/497804/,"CUPED (Controlled-experiment Using Pre-Experiment Data) — техника A/Б-экспериментов, которую стали применять в продакшене сравнительно недавно. Она позволяет увеличить чувствительность метрик за счёт "
2020-04-16,Как мы учились рекомендовать фильмы и почему не стоит полагаться только на оценки,https://habr.com/ru/company/yandex/blog/497390/,"Представьте, что вы хотите провести вечер за просмотром фильма, но не знаете, какой выбрать. Пользователи Яндекса часто оказываются в такой же ситуации, поэтому наша команда разрабатывает рекомендации"
2020-04-14,Сотни тысяч маршрутов в секунду на ядро. Опыт Яндекс.Маршрутизации,https://habr.com/ru/company/yandex/blog/496818/,"Пару недель назад Даня Тарарухин рассказал на Хабре, как появился наш сервис, Яндекс.Маршрутизация, и как он помогает компаниям с логистикой. Создавая платформу, мы решили несколько интересных проблем"
2020-04-09,"BFCache, или Туда и обратно. Доклад Яндекса",https://habr.com/ru/company/yandex/blog/496360/,"Люди пользуются кнопкой возврата на предыдущую страницу в браузере очень часто — возможно, чаще, чем вы думаете. А если так, то зачем сразу выбрасывать страницу из памяти браузера, а спустя секунду тр"
2020-04-07,Новые модели поиска и анализа данных. WSDM 2020 глазами команды Яндекс.Толоки,https://habr.com/ru/company/yandex/blog/496004/,"Международные научные конференции помогают следить за трендами в индустрии, узнавать о передовых разработках ведущих компаний, университетов и рассказывать о себе. Конечно, это относится только ко вре"
2020-04-03,Макросы для питониста. Доклад Яндекса,https://habr.com/ru/company/yandex/blog/495294/,"Как можно расширить синтаксис Python и добавить в него необходимые возможности? Прошлым летом на PyCon я постарался разобрать эту тему. Из доклада можно узнать, как устроены библиотеки pytest, macropy"
2020-04-01,Нейросетевой калькулятор для сложения и вычитания не очень больших чисел,https://habr.com/ru/company/yandex/blog/493950/,"Мы рады представить хабросообществу наш смелый эксперимент: калькулятор, работающий на основе нейросети. Он работает следующим образом: математическое выражение преобразуется в изображение и подается "
2020-03-31,"Как устроена контент-система Турбо-страниц: схемы, факты и немного истории",https://habr.com/ru/company/yandex/blog/494824/,"По данным TelecomDaily, почти 30% пользователей мобильного интернета в России ежедневно сталкиваются с проблемами при загрузке сайтов. Однако причина может быть не только в неравномерном покрытии, но "
2020-03-30,Яндекс.Маршрутизация: как мы окунулись в логистику и решили поменять будущее,https://habr.com/ru/company/yandex/blog/494792/,"Этот текст возник благодаря появившейся в Яндексе забаве random coffee — система назначает встречу двум случайным сотрудникам, если они указали, что хотят участвовать в таких встречах. Мои собеседники"
2020-03-26,Как мы ускорили кодирование видео в восемь раз,https://habr.com/ru/company/yandex/blog/494154/,"Каждый день миллионы зрителей смотрят видео в интернете. Но чтобы видео стало доступно, его нужно не только загрузить на сервер, но и обработать. Чем быстрее это происходит — тем лучше сервису и его п"
2020-03-25,Где порешать реальные задачи для кандидатов в Яндекc: тренировка на Codeforces и разбор,https://habr.com/ru/company/yandex/blog/493966/,"Хабр, это снова я, Алексей Рак (фото не мое). В прошлом году, помимо основной работы, мне довелось стать одним из авторов задач для кандидатов в Яндекс. Сегодня наша команда впервые за долгое время пу"
2020-03-24,Как мы учили искусственный интеллект отвечать на вопросы в поддержку. Опыт Яндекс.Такси,https://habr.com/ru/company/yandex/blog/493666/,"Идеальных сервисов не бывает — иногда у пользователя возникают вопросы к техподдержке. Трудно сказать, что в таких случаях неприятнее — попытки сложить из шаблонных реплик бота комбинацию, способную р"
2020-03-23,Картинки как коробки — что внутри? Доклад в Яндексе,https://habr.com/ru/company/yandex/blog/493616/,"Картинки и видео — это «чёрные ящики», внутри которых лежит много интересного и непонятного. Но можно заглянуть внутрь некоторых форматов, всё там поменять и посмотреть, что из этого получится. 

Пол"
2020-03-21,«Не будем порождать теории заговора». Разговор про ML-конференции с людьми из науки и IT-компаний,https://habr.com/ru/company/yandex/blog/493428/,"Сейчас почти никакие публичные мероприятия не проходят, но мы надеемся, что скоро ситуация изменится (и прикладываем к этому усилия). Мы ждём, что перенесённые события пройдут в другие даты, а будущие"
2020-03-20,Как мы создавали галерею нейросетевого искусства и почему не даём копировать картины,https://habr.com/ru/company/yandex/blog/493190/,"Мы сегодня запустили виртуальную галерею, где все картины созданы нейронной сетью. Её особенность в том, что каждую картину в полном размере может забрать себе только один человек. Почти как в настоящ"
2020-03-18,Оптимизация строк в ClickHouse. Доклад Яндекса,https://habr.com/ru/company/yandex/blog/492868/,"Аналитическая СУБД ClickHouse обрабатывает множество разных строк, потребляя ресурсы. Для ускорения работы системы постоянно добавляются новые оптимизации. Разработчик ClickHouse Николай Кочетов расск"
2020-03-13,Глазные интерфейсы. Доклад в Яндексе,https://habr.com/ru/company/yandex/blog/492162/,"В феврале Яндекс провёл вторую конференцию «Я  Фронтенд». Мы сделали её непохожей на наши традиционные Я.Субботники — почти все спикеры были не из Яндекса, чтобы зрители могли узнать об опыте разных к"
2020-03-12,Как объединить две платформы в одну и не обидеть пользователей. Опыт разработчиков Яндекс.Кью,https://habr.com/ru/company/yandex/blog/491944/,"В прошлом году к Яндексу присоединился сервис TheQuestion. На тот момент уже был схожий сервис вопросов и ответов — Яндекс.Знатоки. У Знатоков была большая аудитория и много интересных вопросов, но не"
2020-03-11,Интернет вещей в Яндекс.Облаке: как устроены сервисы Yandex IoT Core и Yandex Cloud Functions,https://habr.com/ru/company/yandex/blog/491740/,"В октябре прошлого года состоялась первая облачная конференция Яндекса Yandex Scale. На ней было объявлено о запуске множества новых сервисов, в том числе Yandex IoT Core, который позволяет обменивать"
2020-03-10,Яндекс открывает Testsuite,https://habr.com/ru/company/yandex/blog/491038/,"Сегодня мы открываем исходный код testsuite — фреймворка для тестирования HTTP-сервисов, который разработан и применяется в Яндекс.Такси. Исходники опубликованы на GitHub под лицензией MIT.

С помощь"
2020-03-04,Как открыть комментарии и не потонуть в спаме,https://habr.com/ru/company/yandex/blog/490836/,"Когда твоя работа — создавать что-то красивое, о ней можно особенно не рассказывать, потому что результат у всех перед глазами. А вот если ты стираешь надписи с заборов, твою работу никто не замечает,"
2020-03-03,Бесполезный REPL. Доклад Яндекса,https://habr.com/ru/company/yandex/blog/490788/,"REPL (read-eval-print loop) бесполезен в Python, даже если это волшебный IPython. Сегодня я предложу одно из возможных решений этой проблемы. В первую очередь доклад и мое расширение TheREPL будет пол"
2020-02-27,Как мы работаем над качеством и скоростью подбора рекомендаций,https://habr.com/ru/company/yandex/blog/490140/,"Меня зовут Павел Пархоменко, я ML-разработчик. В этой статье я хотел бы рассказать об устройстве сервиса Яндекс.Дзен и поделиться техническими улучшениями, внедрение которых позволило увеличить качест"
2020-02-26,Как помочь найти организацию и не потратить на это неделю,https://habr.com/ru/company/yandex/blog/489878/,"Когда люди вводят в поиске Яндекса название автомастерской, клиники или магазина, то хотят найти о них информацию. Например, график работы или номер телефона. От точности и актуальности этих данных за"
2020-02-25,Как в Яндекс.Облаке устроено Virtual Private Cloud и как наши пользователи помогают нам внедрять полезные функции,https://habr.com/ru/company/yandex/blog/487694/,"Привет, меня зовут Костя Крамлих, я ведущий разработчик подразделения Virtual Private Cloud в Яндекс.Облаке. Я занимаюсь виртуальной сетью, и, как можно догадаться, в этой статье расскажу об устройств"
2020-02-24,Логирование и трассировка запросов — лучшие практики. Доклад Яндекса,https://habr.com/ru/company/yandex/blog/489048/,"В Яндекс.Маркете большая микросервисная архитектура. Браузерный запрос главной страницы Маркета рождает десятки вложенных запросов в разные сервисы (бэкенды), которые разрабатываются разными людьми. В"
2020-02-20,Как мы предсказываем будущее в поиске Яндекса: от исправления ошибок до discovery-запросов,https://habr.com/ru/company/yandex/blog/488428/,"Люди не всегда точно формулируют свои запросы, поэтому поисковые системы должны помогать им в этом. Меня зовут Сергей Юдин, я руковожу группой аналитики функциональности поиска в Яндексе. Мы каждый де"
2020-02-19,C++20 утверждён! Чего ждать и к чему готовиться разработчикам в C++23,https://habr.com/ru/company/yandex/blog/488588/,"На днях в Праге прошла встреча международного комитета по стандартизации C++. И-и-и-и…



C++20 готов! Осталось поставить штампик от ISO, но это чисто формальный шаг, с которым не должно быть проблем"
2020-02-18,Как проверить навыки программирования на Python? Задачи от Яндекса,https://habr.com/ru/company/yandex/blog/488682/,"Хакатон в Школе бэкенд-разработки

В 2019 году нам потребовалось автоматизированно проверить умение писать Python-код у сотен разработчиков. Так мы отбирали будущих студентов для Школы бэкенд-разрабо"
2020-02-11,Встречайте чувашский язык в Яндекс.Переводчике: как мы решаем главную проблему машинного перевода,https://habr.com/ru/company/yandex/blog/487772/,"Регионы России — это не просто границы на карте. В каждом регионе есть свои культурные традиции, во многих — свои языки. Машинный перевод мог бы помочь сохранять и применять эти языки — в частности, п"
